iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
221;22446;4.453152832205201E-5;4.252773570189965E-5;4509;21879;
222;22545;4.453152832205201E-5;4.27070262138747E-5;4529;21978;
223;22645;4.453152832205201E-5;4.2716531062502685E-5;4551;22077;
224;22745;4.453152832205201E-5;4.2630665333259505E-5;4569;22176;
225;22844;4.493978069387021E-5;4.24899680103707E-5;4584;22275;
226;22944;4.493978069387021E-5;4.253226199524139E-5;4610;22374;
227;23044;4.493978069387021E-5;4.260656284659773E-5;4636;22473;
228;23144;4.493978069387021E-5;4.2494202401541365E-5;4656;22572;
229;23244;4.493978069387021E-5;4.246010311299212E-5;4674;22671;
230;23344;4.493978069387021E-5;4.254998729682387E-5;4688;22770;
231;23444;4.493978069387021E-5;4.2639598219382244E-5;4713;22869;
232;23544;4.493978069387021E-5;4.266665724758537E-5;4735;22968;
233;23643;4.515080368430558E-5;4.2709348999471284E-5;4758;23067;
234;23743;4.515080368430558E-5;4.312421533318449E-5;4775;23166;
235;23843;4.515080368430558E-5;4.309063392417948E-5;4796;23265;
236;23941;4.515080368430558E-5;4.32954789615044E-5;4814;23364;
237;24041;4.515080368430558E-5;4.3284326768709416E-5;4833;23463;
238;24141;4.515080368430558E-5;4.3291889057471444E-5;4857;23562;
239;24242;4.515080368430558E-5;4.334046293682432E-5;4883;23661;
240;24342;4.515080368430558E-5;4.349633508472684E-5;4908;23760;
241;24441;4.515080368430558E-5;4.3622971959711104E-5;4923;23859;
242;24542;4.536381781890764E-5;4.376000674026644E-5;4937;23958;
243;24641;4.589682393978337E-5;4.371043736490652E-5;4962;24057;
244;24740;4.589682393978337E-5;4.3681226355394685E-5;4983;24156;
245;24840;4.589682393978337E-5;4.372588073712362E-5;5002;24255;
246;24940;4.589682393978337E-5;4.379300090933139E-5;5020;24354;
247;25040;4.589682393978337E-5;4.3789295908761595E-5;5039;24453;
248;25139;4.589682393978337E-5;4.382339850438042E-5;5053;24552;
249;25239;4.589682393978337E-5;4.3997271569862036E-5;5072;24651;
250;25339;4.589682393978337E-5;4.411956563051424E-5;5090;24750;
251;25439;4.589682393978337E-5;4.4014510740973056E-5;5112;24849;
252;25538;4.589682393978337E-5;4.3954937075045164E-5;5129;24948;
253;25638;4.589682393978337E-5;4.3781770366179695E-5;5149;25047;
254;25738;4.589682393978337E-5;4.371585153962045E-5;5170;25146;
255;25838;4.589682393978337E-5;4.374332175529002E-5;5191;25245;
256;25937;4.589682393978337E-5;4.3737156545298146E-5;5214;25344;
257;26037;4.589682393978337E-5;4.368426533960931E-5;5231;25443;
258;26137;4.589682393978337E-5;4.3820810683674735E-5;5252;25542;
259;26238;4.589682393978337E-5;4.399253532211808E-5;5269;25641;
260;26337;4.5938993017273064E-5;4.4044194208385546E-5;5290;25740;
261;26437;4.5938993017273064E-5;4.4306960131100146E-5;5304;25839;
262;26536;4.5938993017273064E-5;4.437141576142235E-5;5327;25938;
263;26636;4.5938993017273064E-5;4.436179250841949E-5;5351;26037;
264;26734;4.611695259177273E-5;4.441335088540329E-5;5371;26136;
265;26834;4.6356387910254036E-5;4.444525296980399E-5;5391;26235;
266;26933;4.661570016781652E-5;4.459897428556267E-5;5413;26334;
267;27032;4.6816479400749066E-5;4.454593110859788E-5;5432;26433;
268;27132;4.7054394880481836E-5;4.484805776494149E-5;5457;26532;
269;27231;4.7054394880481836E-5;4.485411579915983E-5;5475;26631;
270;27332;4.7054394880481836E-5;4.471646275328084E-5;5496;26730;
271;27431;4.714312653215161E-5;4.475280974253982E-5;5518;26829;
272;27530;4.714312653215161E-5;4.463679622036427E-5;5539;26928;
273;27630;4.714312653215161E-5;4.476298715865221E-5;5562;27027;
274;27730;4.714312653215161E-5;4.479261650011054E-5;5584;27126;
275;27828;4.714312653215161E-5;4.488031806169008E-5;5603;27225;
276;27928;4.714312653215161E-5;4.487386563321011E-5;5614;27324;
277;28027;4.714312653215161E-5;4.494076223104826E-5;5635;27423;
278;28127;4.714312653215161E-5;4.472308514232811E-5;5657;27522;
279;28226;4.714312653215161E-5;4.4757010521735886E-5;5675;27621;
280;28325;4.714312653215161E-5;4.47875796976313E-5;5697;27720;
281;28425;4.714312653215161E-5;4.473183276685952E-5;5719;27819;
282;28525;4.714312653215161E-5;4.48163479390672E-5;5735;27918;
283;28624;4.714312653215161E-5;4.481556242661043E-5;5758;28017;
284;28724;4.728579534707774E-5;4.5000094057344774E-5;5781;28116;
285;28824;4.728579534707774E-5;4.500153950790726E-5;5800;28215;
286;28922;4.728579534707774E-5;4.4831804206932884E-5;5815;28314;
287;29022;4.728579534707774E-5;4.491749306190785E-5;5831;28413;
288;29122;4.728579534707774E-5;4.502901332497109E-5;5855;28512;
289;29222;4.728579534707774E-5;4.511248064125114E-5;5871;28611;
290;29322;4.728579534707774E-5;4.518113365072492E-5;5890;28710;
291;29423;4.772814051164567E-5;4.5243189604729046E-5;5910;28809;
292;29523;4.772814051164567E-5;4.5105084405380894E-5;5920;28908;
293;29622;4.772814051164567E-5;4.5253031996162686E-5;5934;29007;
294;29721;4.772814051164567E-5;4.523753439663418E-5;5953;29106;
295;29821;4.772814051164567E-5;4.519091671625435E-5;5970;29205;
296;29921;4.772814051164567E-5;4.5226271100995775E-5;5996;29304;
297;30021;4.772814051164567E-5;4.522652547626877E-5;6013;29403;
298;30120;4.772814051164567E-5;4.531153807191498E-5;6035;29502;
299;30220;4.772814051164567E-5;4.564815418612995E-5;6050;29601;
300;30320;4.772814051164567E-5;4.565095238519531E-5;6071;29700;
301;30420;4.815100154083205E-5;4.576400444468578E-5;6090;29799;
302;30519;4.879000780640125E-5;4.601634730301023E-5;6109;29898;
303;30619;4.890453834115806E-5;4.614721693040909E-5;6130;29997;
304;30719;4.909662215239592E-5;4.622969251188689E-5;6150;30096;
305;30818;4.919323101141283E-5;4.633333806512522E-5;6172;30195;
306;30918;4.919323101141283E-5;4.65354436276765E-5;6189;30294;
307;31017;4.919323101141283E-5;4.688196155782832E-5;6212;30393;
308;31117;4.919323101141283E-5;4.6857963583429385E-5;6232;30492;
309;31216;4.919323101141283E-5;4.694149267264616E-5;6245;30591;
310;31315;4.919323101141283E-5;4.705323056669653E-5;6260;30690;
311;31415;4.935834155972359E-5;4.71128539443585E-5;6276;30789;
312;31515;4.9495149475351414E-5;4.728807600113334E-5;6303;30888;
313;31614;4.9544193420531116E-5;4.747323687214421E-5;6321;30987;
314;31714;4.9544193420531116E-5;4.74895977690624E-5;6346;31086;
315;31814;4.9544193420531116E-5;4.742790296781246E-5;6363;31185;
316;31913;4.961301845604287E-5;4.745619030681628E-5;6387;31284;
317;32012;4.961301845604287E-5;4.7537146385014966E-5;6410;31383;
318;32112;4.961301845604287E-5;4.747696777978254E-5;6435;31482;
319;32212;4.961301845604287E-5;4.753779890609316E-5;6461;31581;
320;32313;4.961301845604287E-5;4.7432307216598246E-5;6481;31680;
321;32412;4.961301845604287E-5;4.735275796276288E-5;6499;31779;
322;32512;5.0110242533573865E-5;4.735910480638758E-5;6523;31878;
323;32615;5.0110242533573865E-5;4.7372351444239955E-5;6542;31977;
324;32713;5.0110242533573865E-5;4.7375602814345546E-5;6559;32076;
325;32813;5.0110242533573865E-5;4.730355755957162E-5;6577;32175;
326;32912;5.051525560719337E-5;4.735020346165476E-5;6596;32274;
327;33012;5.051525560719337E-5;4.755086609380488E-5;6618;32373;
328;33110;5.051525560719337E-5;4.717203843161558E-5;6635;32472;
329;33210;5.051525560719337E-5;4.7321898508734676E-5;6651;32571;
330;33310;5.051525560719337E-5;4.751158019176402E-5;6668;32670;
331;33408;5.051525560719337E-5;4.782267253485877E-5;6685;32769;
332;33508;5.074081591231987E-5;4.832600062839278E-5;6713;32868;
333;33607;5.074081591231987E-5;4.8750273070237096E-5;6730;32967;
334;33707;5.074081591231987E-5;4.8901388899624816E-5;6752;33066;
335;33805;5.074081591231987E-5;4.882770569563177E-5;6770;33165;
336;33905;5.074081591231987E-5;4.886175247508667E-5;6796;33264;
337;34004;5.085435313262815E-5;4.890799730940063E-5;6816;33363;
338;34104;5.085435313262815E-5;4.890849999197734E-5;6835;33462;
339;34202;5.14615067929189E-5;4.896247969716508E-5;6854;33561;
340;34302;5.14615067929189E-5;4.90365951062552E-5;6873;33660;
341;34401;5.14615067929189E-5;4.88793835372923E-5;6891;33759;
342;34501;5.14615067929189E-5;4.892569920901568E-5;6913;33858;
343;34600;5.14615067929189E-5;4.887318344953685E-5;6935;33957;
344;34699;5.14615067929189E-5;4.885755033614079E-5;6956;34056;
345;34800;5.14615067929189E-5;4.877210634395396E-5;6976;34155;
346;34898;5.14615067929189E-5;4.874742699088586E-5;7001;34254;
347;34998;5.1472102120650604E-5;4.883441507490914E-5;7024;34353;
348;35097;5.1472102120650604E-5;4.895337300754916E-5;7048;34452;
349;35197;5.154639175257732E-5;4.921361697418991E-5;7067;34551;
350;35295;5.154639175257732E-5;4.930653165524672E-5;7080;34650;
351;35394;5.156765676567657E-5;4.923812527514903E-5;7100;34749;
352;35494;5.1695616211745244E-5;4.9161729755286594E-5;7123;34848;
353;35594;5.1695616211745244E-5;4.9014068404128657E-5;7136;34947;
354;35692;5.1695616211745244E-5;4.9046638508838776E-5;7161;35046;
355;35792;5.1695616211745244E-5;4.897408063132619E-5;7180;35145;
356;35891;5.1695616211745244E-5;4.8987624228314814E-5;7199;35244;
357;35991;5.1695616211745244E-5;4.880677107266754E-5;7211;35343;
358;36089;5.1695616211745244E-5;4.8713268570280455E-5;7230;35442;
359;36188;5.1695616211745244E-5;4.890790730887768E-5;7250;35541;
360;36288;5.1695616211745244E-5;4.8981197540567716E-5;7269;35640;
361;36389;5.1695616211745244E-5;4.89457506944178E-5;7283;35739;
362;36488;5.203996669442132E-5;4.936339878112022E-5;7303;35838;
363;36588;5.203996669442132E-5;4.9576899085345813E-5;7325;35937;
364;36687;5.203996669442132E-5;4.95683872673601E-5;7340;36036;
365;36787;5.203996669442132E-5;4.961678050246628E-5;7357;36135;
366;36885;5.203996669442132E-5;4.978502705610499E-5;7373;36234;
367;36984;5.203996669442132E-5;4.9747898406984044E-5;7393;36333;
368;37084;5.203996669442132E-5;4.998088892078564E-5;7410;36432;
369;37183;5.2105043768236766E-5;5.017447497335373E-5;7430;36531;
370;37281;5.214851898206091E-5;5.03237650122216E-5;7452;36630;
371;37380;5.214851898206091E-5;5.0300081992020774E-5;7472;36729;
372;37479;5.214851898206091E-5;5.03795237027769E-5;7484;36828;
373;37579;5.214851898206091E-5;5.016141917190963E-5;7504;36927;
374;37677;5.2932458183358036E-5;4.995249570236701E-5;7524;37026;
375;37775;5.2932458183358036E-5;5.00013704776798E-5;7548;37125;
376;37874;5.2954882440160984E-5;4.982247266054037E-5;7565;37224;
377;37973;5.2954882440160984E-5;4.960827747361441E-5;7581;37323;
