iterations;bestFitness;averageFitness;mutations;cruces;
3195;7.122507122507122E-5;6.923829696597083E-5;5722;28755;
3200;7.122507122507122E-5;6.998260088401793E-5;5730;28800;
3205;7.122507122507122E-5;6.881262603329187E-5;5740;28845;
3210;7.122507122507122E-5;6.831733487102207E-5;5746;28890;
3215;7.122507122507122E-5;6.886098177790552E-5;5752;28935;
3220;7.122507122507122E-5;6.953017819118665E-5;5758;28980;
3225;7.122507122507122E-5;6.889682398079214E-5;5763;29025;
3230;7.122507122507122E-5;6.853441895868379E-5;5770;29070;
3235;7.122507122507122E-5;6.814774474589868E-5;5782;29115;
3240;7.122507122507122E-5;6.902509632444242E-5;5790;29160;
3245;7.122507122507122E-5;6.859860632528787E-5;5802;29205;
3250;7.122507122507122E-5;6.868993020438638E-5;5814;29250;
3255;7.14694110920526E-5;6.890328466101468E-5;5825;29295;
3260;7.14694110920526E-5;6.789309368257356E-5;5834;29340;
3265;7.148984844152131E-5;6.957825004882277E-5;5841;29385;
3270;7.148984844152131E-5;6.987664779670451E-5;5851;29430;
3275;7.148984844152131E-5;6.875502260432462E-5;5856;29475;
3280;7.148984844152131E-5;6.884049436488335E-5;5862;29520;
3285;7.148984844152131E-5;6.855647254677615E-5;5872;29565;
3290;7.148984844152131E-5;6.86347997194223E-5;5884;29610;
3295;7.148984844152131E-5;6.971921659069354E-5;5891;29655;
3300;7.148984844152131E-5;7.020769034277817E-5;5898;29700;
3305;7.148984844152131E-5;6.950407957308195E-5;5908;29745;
3310;7.148984844152131E-5;6.882285125477892E-5;5922;29790;
3315;7.148984844152131E-5;7.022036943602915E-5;5933;29835;
3320;7.148984844152131E-5;7.002291858726001E-5;5941;29880;
3325;7.148984844152131E-5;6.906908794246649E-5;5952;29925;
3330;7.148984844152131E-5;6.760457086817669E-5;5962;29970;
3335;7.148984844152131E-5;6.977048050970923E-5;5971;30015;
3340;7.148984844152131E-5;6.857760794922813E-5;5979;30060;
3345;7.148984844152131E-5;6.920848502780231E-5;5984;30105;
