iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
98;9785;3.2701111837802485E-5;2.9578260318194515E-5;1990;9702;
99;9882;3.2701111837802485E-5;2.950926547027721E-5;2005;9801;
100;9980;3.2701111837802485E-5;2.976766277797205E-5;2024;9900;
101;10080;3.2701111837802485E-5;2.9823791841655443E-5;2043;9999;
102;10183;3.2701111837802485E-5;3.006848612395886E-5;2059;10098;
103;10283;3.2735367290821005E-5;3.0076962538203074E-5;2074;10197;
104;10382;3.2735367290821005E-5;3.002856565709813E-5;2095;10296;
105;10482;3.2735367290821005E-5;3.0054893836944287E-5;2111;10395;
106;10580;3.2735367290821005E-5;3.0172728020538557E-5;2128;10494;
107;10680;3.2735367290821005E-5;3.0330147374100515E-5;2146;10593;
108;10779;3.2735367290821005E-5;3.0504212611984623E-5;2170;10692;
109;10878;3.2735367290821005E-5;3.0545022625786254E-5;2188;10791;
110;10978;3.305129561078794E-5;3.0581661670400624E-5;2206;10890;
111;11078;3.315649867374005E-5;3.067288108290918E-5;2227;10989;
112;11176;3.315649867374005E-5;3.084075607367892E-5;2246;11088;
113;11275;3.315649867374005E-5;3.104990768086059E-5;2264;11187;
114;11375;3.3191715347849174E-5;3.113593344232521E-5;2284;11286;
115;11474;3.345376689415228E-5;3.118242859515127E-5;2304;11385;
116;11573;3.345376689415228E-5;3.1320928571529135E-5;2318;11484;
117;11673;3.345376689415228E-5;3.1424832565463975E-5;2341;11583;
118;11769;3.345376689415228E-5;3.1532862777436255E-5;2357;11682;
119;11871;3.345376689415228E-5;3.138074621672018E-5;2379;11781;
120;11971;3.345376689415228E-5;3.123506719940844E-5;2396;11880;
121;12069;3.345376689415228E-5;3.147372648300396E-5;2415;11979;
122;12167;3.345376689415228E-5;3.13912378058486E-5;2437;12078;
123;12265;3.345376689415228E-5;3.1257309730164384E-5;2461;12177;
124;12364;3.345376689415228E-5;3.131672168738302E-5;2481;12276;
125;12463;3.345376689415228E-5;3.11872802733816E-5;2499;12375;
126;12560;3.345376689415228E-5;3.108677660359801E-5;2517;12474;
127;12658;3.345376689415228E-5;3.097634811383836E-5;2535;12573;
128;12756;3.345376689415228E-5;3.103178195033686E-5;2553;12672;
129;12854;3.345376689415228E-5;3.100661842663383E-5;2568;12771;
130;12952;3.345376689415228E-5;3.098485058387941E-5;2589;12870;
131;13048;3.345376689415228E-5;3.0986634238038585E-5;2609;12969;
132;13145;3.345376689415228E-5;3.0856442963188025E-5;2626;13068;
133;13244;3.345376689415228E-5;3.08108782231312E-5;2642;13167;
134;13342;3.345376689415228E-5;3.084336130202401E-5;2665;13266;
135;13442;3.373363918499528E-5;3.0791585523060244E-5;2683;13365;
136;13541;3.373363918499528E-5;3.097293556767388E-5;2699;13464;
137;13640;3.373363918499528E-5;3.108112522342936E-5;2712;13563;
138;13740;3.373363918499528E-5;3.099089904844178E-5;2740;13662;
139;13838;3.4383166001925455E-5;3.095308468477674E-5;2761;13761;
140;13936;3.4383166001925455E-5;3.10756736922343E-5;2786;13860;
141;14036;3.4383166001925455E-5;3.088809903997082E-5;2807;13959;
142;14133;3.4383166001925455E-5;3.075512322867637E-5;2828;14058;
143;14231;3.4383166001925455E-5;3.078544414330908E-5;2848;14157;
144;14328;3.4383166001925455E-5;3.096343716237902E-5;2862;14256;
145;14427;3.4383166001925455E-5;3.076395998935556E-5;2885;14355;
146;14527;3.4383166001925455E-5;3.0945245708998133E-5;2909;14454;
147;14625;3.4383166001925455E-5;3.108912808276918E-5;2926;14553;
148;14723;3.4383166001925455E-5;3.1027415123878936E-5;2942;14652;
149;14821;3.444000551040088E-5;3.113152862474614E-5;2965;14751;
150;14918;3.444000551040088E-5;3.1067865021504905E-5;2978;14850;
